epoch,loss,acc
1,2.3013,13.2812
1,2.2649,17.1875
1,2.2382,17.4479
1,2.1348,20.7031
1,2.1629,21.2730
2,2.1117,34.3750
2,2.0908,35.9375
2,2.0624,38.0208
2,2.0066,40.4297
2,2.1014,39.5310
3,2.0437,39.8438
3,2.0285,41.7969
3,1.9649,45.5729
3,2.0383,44.3359
3,2.0230,44.2211
4,2.0283,42.1875
4,1.9784,44.9219
4,1.8951,48.9583
4,1.9905,48.8281
4,1.9772,48.7437
5,1.9571,51.5625
5,1.9364,53.9062
5,1.9318,53.6458
5,1.9179,54.1016
5,2.0318,52.2613
6,1.9289,53.9062
6,1.9346,53.9062
6,1.9693,52.0833
6,1.9616,51.5625
6,1.9379,51.7588
7,1.8965,57.0312
7,1.9935,53.1250
7,1.8889,54.9479
7,1.8424,57.0312
7,1.9566,56.2814
8,1.9324,56.2500
8,1.8523,58.2031
8,1.8866,57.5521
8,1.9010,57.4219
8,1.8121,58.4590
9,1.8463,64.8438
9,1.8340,65.2344
9,1.8670,64.5833
9,1.8213,65.0391
9,1.7960,65.6616
10,1.7776,70.3125
10,1.8107,68.3594
10,1.7481,69.5312
10,1.8380,67.9688
10,1.7316,69.0117
11,1.7607,72.6562
11,1.8128,69.5312
11,1.7435,70.8333
11,1.7207,71.8750
11,1.8481,70.6868
12,1.7736,69.5312
12,1.7097,73.0469
12,1.7996,71.0938
12,1.7677,70.8984
12,1.7535,71.3568
13,1.6729,82.0312
13,1.7973,75.0000
13,1.7319,73.9583
13,1.7548,73.2422
13,1.7512,73.0318
14,1.6858,78.9062
14,1.7466,76.1719
14,1.6368,78.9062
14,1.7192,77.9297
14,1.7159,77.3869
15,1.7203,72.6562
15,1.6992,74.2188
15,1.7263,74.2188
15,1.6500,76.1719
15,1.6659,76.8844
16,1.6264,84.3750
16,1.7101,80.0781
16,1.6636,80.2083
16,1.7104,79.1016
16,1.7513,78.0570
17,1.7210,75.0000
17,1.6987,76.1719
17,1.6621,77.6042
17,1.6737,78.1250
17,1.6826,78.3920
18,1.7009,77.3438
18,1.6916,78.5156
18,1.6178,81.2500
18,1.6800,80.4688
18,1.7419,79.3970
19,1.7086,77.3438
19,1.6841,77.3438
19,1.6867,77.8646
19,1.6799,78.9062
19,1.6575,79.8995
20,1.6319,85.1562
20,1.7389,80.0781
20,1.6271,81.7708
20,1.6138,83.0078
20,1.6121,83.5846
21,1.6340,84.3750
21,1.6550,82.8125
21,1.6325,82.8125
21,1.6335,83.3984
21,1.6561,83.2496
22,1.5583,91.4062
22,1.6533,86.3281
22,1.6382,85.1562
22,1.6012,85.9375
22,1.6496,85.4271
23,1.6042,86.7188
23,1.6240,85.5469
23,1.5674,87.2396
23,1.6123,87.1094
23,1.6666,86.4322
24,1.6190,84.3750
24,1.5781,87.8906
24,1.6617,85.9375
24,1.6505,84.7656
24,1.5922,85.2596
25,1.6315,84.3750
25,1.6314,84.3750
25,1.5820,86.1979
25,1.6104,85.9375
25,1.6065,86.0972
26,1.6183,85.1562
26,1.6207,85.5469
26,1.5920,86.4583
26,1.5832,86.9141
26,1.6063,86.9347
27,1.5774,89.8438
27,1.6067,88.6719
27,1.6353,87.5000
27,1.5807,88.2812
27,1.6050,88.2747
28,1.6200,85.1562
28,1.5522,89.0625
28,1.6086,88.0208
28,1.6385,86.9141
28,1.5710,87.6047
29,1.5867,88.2812
29,1.6123,87.5000
29,1.5607,89.0625
29,1.6263,88.0859
29,1.5598,88.7772
30,1.5602,90.6250
30,1.5649,91.0156
30,1.5995,89.8438
30,1.5626,90.2344
30,1.6553,89.1122
31,1.5622,90.6250
31,1.5437,92.1875
31,1.6081,90.1042
31,1.5769,90.0391
31,1.6081,89.4472
32,1.5545,92.1875
32,1.5811,90.6250
32,1.5664,90.8854
32,1.5700,91.0156
32,1.6367,89.9497
33,1.6068,86.7188
33,1.5226,91.0156
33,1.5599,91.1458
33,1.5995,90.0391
33,1.5764,90.1173
34,1.5318,93.7500
34,1.5845,91.4062
34,1.5804,91.1458
34,1.6154,90.0391
34,1.5440,90.4523
35,1.5624,91.4062
35,1.5874,89.8438
35,1.5514,91.1458
35,1.5767,91.0156
35,1.5798,90.7873
36,1.5306,94.5312
36,1.5795,92.1875
36,1.5552,92.1875
36,1.6015,91.2109
36,1.5741,91.2898
37,1.5755,90.6250
37,1.5363,92.9688
37,1.5625,92.4479
37,1.5884,91.6016
37,1.5752,91.6248
38,1.5611,92.1875
38,1.6021,89.8438
38,1.5757,90.1042
38,1.5438,90.6250
38,1.5702,90.9548
39,1.5445,93.7500
